ID,Player,From,To,Pos,Ht,Ht (cm),Wt,Birth Date,Colleges,HOF,URL
adebaba01,Bam Adebayo,2018,2020,C-F,6-9,205.74,255.0,"July 18, 1997",Kentucky,N,/players/a/adebaba01.html
adelde01,Deng Adel,2019,2019,F,6-7,200.66,200.0,"February 1, 1997",Louisville,N,/players/a/adelde01.html
adelmri01,Rick Adelman,1969,1975,G,6-1,185.42,175.0,"June 16, 1946",Loyola Marymount,N,/players/a/adelmri01.html
adrieje01,Jeff Adrien,2011,2015,F,6-7,200.66,245.0,"February 10, 1986",UConn,N,/players/a/adrieje01.html
afflaar01,Arron Afflalo,2008,2018,G-F,6-5,195.58,210.0,"October 15, 1985",UCLA,N,/players/a/afflaar01.html
agerma01,Maurice Ager,2007,2011,G,6-5,195.58,202.0,"February 9, 1984",Michigan State,N,/players/a/agerma01.html
aguirma01,Mark Aguirre,1982,1994,F-G,6-6,198.12,232.0,"December 10, 1959",DePaul,N,/players/a/aguirma01.html
ahearbl01,Blake Ahearn,2008,2012,G,6-2,187.96,190.0,"May 27, 1984",Missouri State University,N,/players/a/ahearbl01.html
aingeda01,Danny Ainge,1982,1995,G,6-4,193.04,175.0,"March 17, 1959",BYU,N,/players/a/aingeda01.html
aitchma01,Matthew Aitch,1968,1968,F,6-7,200.66,230.0,"September 21, 1944",Michigan State,N,/players/a/aitchma01.html
ajincal01,Alexis Ajinça,2009,2017,C-F,7-2,218.44,248.0,"May 6, 1988",,N,/players/a/ajincal01.html
akinhe01,Henry Akin,1967,1969,C-F,6-10,208.28,225.0,"July 31, 1944",Morehead State University,N,/players/a/akinhe01.html
akognjo01,Josh Akognon,2013,2013,G,5-11,180.34,185.0,"February 10, 1986","Washington State, Cal State Fullerton",N,/players/a/akognjo01.html
akoonde01,DeVaughn Akoon-Purcell,2019,2019,G,6-6,198.12,200.0,"June 5, 1993",Illinois State,N,/players/a/akoonde01.html
alabiso01,Solomon Alabi,2011,2012,C,7-1,215.9,251.0,"March 21, 1988",Florida State,N,/players/a/alabiso01.html
alarima01,Mark Alarie,1987,1991,F,6-8,203.2,217.0,"December 11, 1963",Duke,N,/players/a/alarima01.html
alcorga01,Gary Alcorn,1960,1961,C,6-9,205.74,225.0,"October 8, 1936",Fresno State,N,/players/a/alcorga01.html
aldemfu01,Furkan Aldemir,2015,2015,F-C,6-10,208.28,240.0,"August 9, 1991",,N,/players/a/aldemfu01.html
aldrico01,Cole Aldrich,2011,2018,C,6-11,210.82,250.0,"October 31, 1988",Kansas,N,/players/a/aldrico01.html
aldrila01,LaMarcus Aldridge,2007,2020,F-C,6-11,210.82,250.0,"July 19, 1985",Texas,N,/players/a/aldrila01.html
aleksch01,Chuck Aleksinas,1985,1985,C,6-11,210.82,260.0,"February 26, 1959","Kentucky, UConn",N,/players/a/aleksch01.html
alexacl01,Cliff Alexander,2016,2016,F,6-8,203.2,245.0,"November 16, 1995",Kansas,N,/players/a/alexacl01.html
alexaco01,Cory Alexander,1996,2005,G,6-1,185.42,185.0,"June 22, 1973",Virginia,N,/players/a/alexaco01.html
alexaco02,Courtney Alexander,2001,2003,G,6-5,195.58,205.0,"April 27, 1977","Virginia, Fresno State",N,/players/a/alexaco02.html
alexaga01,Gary Alexander,1994,1994,F,6-7,200.66,240.0,"November 1, 1969",South Florida,N,/players/a/alexaga01.html
alexajo01,Joe Alexander,2009,2010,F,6-8,203.2,230.0,"December 26, 1986",West Virginia,N,/players/a/alexajo01.html
alexaky01,Kyle Alexander,2020,2020,F,6-11,210.82,220.0,"October 21, 1996",Tennessee,N,/players/a/alexaky01.html
alexavi01,Victor Alexander,1992,2002,C-F,6-9,205.74,265.0,"August 31, 1969",Iowa State,N,/players/a/alexavi01.html
alexani01,Nickeil Alexander-Walker,2020,2020,G,6-5,195.58,205.0,"September 2, 1998",Virginia Tech,N,/players/a/alexani01.html
alforst01,Steve Alford,1988,1991,G,6-2,187.96,183.0,"November 23, 1964",Indiana,N,/players/a/alforst01.html
alkinra01,Rawle Alkins,2019,2019,G,6-5,195.58,225.0,"October 29, 1997",Arizona,N,/players/a/alkinra01.html
allenbi01,Bill Allen,1968,1968,C-F,6-8,203.2,205.0,,New Mexico State,N,/players/a/allenbi01.html
allenbo01,Bob Allen,1969,1969,F,6-9,205.74,205.0,"July 17, 1946",Marshall,N,/players/a/allenbo01.html
allengr01,Grayson Allen,2019,2020,G,6-4,193.04,198.0,"October 8, 1995",Duke,N,/players/a/allengr01.html
allenja01,Jarrett Allen,2018,2020,C-F,6-11,210.82,243.0,"April 21, 1998",Texas,N,/players/a/allenja01.html
allenje01,Jerome Allen,1996,1997,G,6-4,193.04,184.0,"January 28, 1973",Penn,N,/players/a/allenje01.html
allenka01,Kadeem Allen,2018,2020,G,6-1,185.42,200.0,"January 15, 1993",Arizona,N,/players/a/allenka01.html
allenla01,Lavoy Allen,2012,2017,F-C,6-9,205.74,260.0,"February 4, 1989",Temple,N,/players/a/allenla01.html
allenlu01,Lucius Allen,1970,1979,G,6-2,187.96,175.0,"September 26, 1947",UCLA,N,/players/a/allenlu01.html
allenma01,Malik Allen,2002,2011,F-C,6-10,208.28,255.0,"June 27, 1978",Villanova,N,/players/a/allenma01.html
allenra01,Randy Allen,1989,1990,F,6-8,203.2,220.0,"January 26, 1965",Florida State,N,/players/a/allenra01.html
allenra02,Ray Allen*,1997,2014,G,6-5,195.58,205.0,"July 20, 1975",UConn,Y,/players/a/allenra02.html
allento01,Tony Allen,2005,2018,G-F,6-4,193.04,213.0,"January 11, 1982","Butler County Community College, Oklahoma State",N,/players/a/allento01.html
allenwi01,Willie Allen,1972,1972,F,6-6,198.12,230.0,"February 8, 1949",Miami (FL),N,/players/a/allenwi01.html
allisod01,Odis Allison,1972,1972,F,6-6,198.12,195.0,"October 2, 1949",UNLV,N,/players/a/allisod01.html
allrela01,Lance Allred,2008,2008,C,6-11,210.82,250.0,"February 2, 1981","Utah, Weber State",N,/players/a/allrela01.html
allumda01,Darrell Allums,1981,1981,F,6-9,205.74,220.0,"September 12, 1958",UCLA,N,/players/a/allumda01.html
almonmo01,Morris Almond,2008,2012,G,6-6,198.12,225.0,"February 2, 1985",Rice University,N,/players/a/almonmo01.html
alstode01,Derrick Alston,1995,1997,F,6-11,210.82,225.0,"August 20, 1972",Duquesne,N,/players/a/alstode01.html
alstora01,Rafer Alston,2000,2010,G,6-2,187.96,171.0,"July 24, 1976",Fresno State,N,/players/a/alstora01.html
alumape01,Peter Aluma,1999,1999,C,6-10,208.28,260.0,"April 23, 1973",Liberty,N,/players/a/alumape01.html
amaecjo01,John Amaechi,1996,2003,C-F,6-10,208.28,270.0,"November 26, 1970","Vanderbilt, Penn State",N,/players/a/amaecjo01.html
amayaas01,Ashraf Amaya,1996,1997,F,6-8,203.2,230.0,"November 23, 1971",Southern Illinois,N,/players/a/amayaas01.html
aminual01,Al-Farouq Aminu,2011,2020,F,6-8,203.2,220.0,"September 21, 1990",Wake Forest,N,/players/a/aminual01.html
amundlo01,Lou Amundson,2007,2016,F-C,6-9,205.74,220.0,"December 7, 1982",UNLV,N,/players/a/amundlo01.html
anderbo01,Bob Anderegg,1960,1960,F-G,6-3,190.5,200.0,"August 24, 1937",Michigan State,N,/players/a/anderbo01.html
anderch01,Chris Andersen,2002,2017,C-F,6-10,208.28,245.0,"July 7, 1978",Blinn College,N,/players/a/anderch01.html
anderda03,David Andersen,2010,2011,C,6-11,210.82,245.0,"June 23, 1980",,N,/players/a/anderda03.html
anderal01,Alan Anderson,2006,2017,G-F,6-6,198.12,220.0,"October 16, 1982",Michigan State,N,/players/a/anderal01.html
anderan01,Andrew Anderson,1968,1970,G,6-2,187.96,184.0,"July 6, 1945",Canisius,N,/players/a/anderan01.html
anderan02,Antonio Anderson,2010,2010,G,6-6,198.12,215.0,"June 5, 1985",Memphis,N,/players/a/anderan02.html
andercl01,Cliff Anderson,1968,1971,G-F,6-2,187.96,200.0,"September 7, 1944",Saint Joseph's,N,/players/a/andercl01.html
anderda01,Dan Anderson,1968,1969,C,6-10,208.28,230.0,"February 15, 1943",Augsburg College,N,/players/a/anderda01.html
anderda02,Dan Anderson,1975,1976,G,6-2,187.96,185.0,"January 1, 1951",USC,N,/players/a/anderda02.html
anderde01,Derek Anderson,1998,2008,G,6-5,195.58,194.0,"July 18, 1974","Ohio State, Kentucky",N,/players/a/anderde01.html
anderdw01,Dwight Anderson,1983,1983,G,6-3,190.5,185.0,"December 28, 1960","Kentucky, USC",N,/players/a/anderdw01.html
anderer01,Eric Anderson,1993,1994,F,6-9,205.74,220.0,"May 26, 1970",Indiana,N,/players/a/anderer01.html
andergr01,Greg Anderson,1988,1998,F-C,6-10,208.28,230.0,"June 22, 1964",Houston,N,/players/a/andergr01.html
anderjj01,J.J. Anderson,1983,1985,F,6-8,203.2,195.0,"September 23, 1960",Bradley,N,/players/a/anderjj01.html
anderja01,James Anderson,2011,2016,G-F,6-6,198.12,213.0,"March 25, 1989",Oklahoma State,N,/players/a/anderja01.html
anderje01,Jerome Anderson,1976,1977,G,6-5,195.58,195.0,"October 9, 1953",West Virginia,N,/players/a/anderje01.html
anderju01,Justin Anderson,2016,2020,G,6-6,198.12,230.0,"November 19, 1993",Virginia,N,/players/a/anderju01.html
anderke01,Kenny Anderson,1992,2005,G,6-0,182.88,168.0,"October 9, 1970",Georgia Tech,N,/players/a/anderke01.html
anderki01,Kim Anderson,1979,1979,F,6-7,200.66,200.0,"May 12, 1955",Missouri,N,/players/a/anderki01.html
anderky01,Kyle Anderson,2015,2020,F-G,6-9,205.74,230.0,"September 20, 1993",UCLA,N,/players/a/anderky01.html
andermi01,Michael Anderson,1989,1989,G,5-11,180.34,184.0,"March 23, 1966",Drexel,N,/players/a/andermi01.html
anderni01,Nick Anderson,1990,2002,F-G,6-6,198.12,205.0,"January 20, 1968",Illinois,N,/players/a/anderni01.html
anderri01,Richard Anderson,1983,1990,F-C,6-10,208.28,240.0,"November 19, 1960",UC Santa Barbara,N,/players/a/anderri01.html
anderro01,Ron Anderson,1985,1994,F-G,6-7,200.66,215.0,"October 15, 1958",Fresno State,N,/players/a/anderro01.html
anderry01,Ryan Anderson,2009,2020,F,6-9,205.74,240.0,"May 6, 1988",California,N,/players/a/anderry01.html
andersh01,Shandon Anderson,1997,2006,F-G,6-6,198.12,208.0,"December 31, 1973",Georgia,N,/players/a/andersh01.html
anderwi01,Willie Anderson,1989,1997,G-F,6-7,200.66,190.0,"January 8, 1967",Georgia,N,/players/a/anderwi01.html
anderwa01,Wally Anderzunas,1970,1970,C-F,6-7,200.66,220.0,"January 11, 1946",Creighton,N,/players/a/anderwa01.html
andrima01,Martynas Andriuškevičius,2006,2006,C,7-2,218.44,240.0,"March 12, 1986",,N,/players/a/andrima01.html
anieldo01,Don Anielak,1955,1955,F,6-7,200.66,190.0,"November 1, 1930",Missouri State University,N,/players/a/anieldo01.html
anigbik01,Ike Anigbogu,2018,2019,F-C,6-10,208.28,250.0,"October 17, 1998",UCLA,N,/players/a/anigbik01.html
anslemi01,Michael Ansley,1990,1992,F,6-7,200.66,225.0,"February 8, 1967",Alabama,N,/players/a/anslemi01.html
anstech01,Chris Anstey,1998,2000,C,7-0,213.36,249.0,"January 1, 1975",,N,/players/a/anstech01.html
antetgi01,Giannis Antetokounmpo,2014,2020,F-G,6-11,210.82,242.0,"December 6, 1994",,N,/players/a/antetgi01.html
antetko01,Kostas Antetokounmpo,2019,2020,F,6-10,208.28,200.0,"November 20, 1997",Dayton,N,/players/a/antetko01.html
antetth01,Thanasis Antetokounmpo,2016,2020,F,6-6,198.12,219.0,"July 18, 1992",,N,/players/a/antetth01.html
anthoca01,Carmelo Anthony,2004,2020,F,6-8,203.2,238.0,"May 29, 1984",Syracuse,N,/players/a/anthoca01.html
anthogr01,Greg Anthony,1992,2002,G,6-0,182.88,176.0,"November 15, 1967","University of Portland, UNLV",N,/players/a/anthogr01.html
anthojo01,Joel Anthony,2008,2017,C,6-9,205.74,245.0,"August 9, 1982",UNLV,N,/players/a/anthojo01.html
anticpe01,Pero Antić,2014,2015,C-F,6-11,210.82,260.0,"July 29, 1982",,N,/players/a/anticpe01.html
anunoog01,OG Anunoby,2018,2020,F,6-7,200.66,232.0,"July 17, 1997",Indiana,N,/players/a/anunoog01.html
applike01,Keith Appling,2016,2016,G,6-1,185.42,185.0,"February 13, 1992",Michigan State,N,/players/a/applike01.html
araujra01,Rafael Araújo,2005,2007,C,6-11,210.82,280.0,"August 12, 1980",BYU,N,/players/a/araujra01.html
arcenst01,Stacey Arceneaux,1962,1962,F,6-4,193.04,210.0,"February 17, 1936",Iowa State,N,/players/a/arcenst01.html
archiro01,Robert Archibald,2003,2004,F,6-11,210.82,250.0,"March 29, 1980",Illinois,N,/players/a/archiro01.html
architi01,Tiny Archibald*,1971,1984,G,6-1,185.42,150.0,"September 2, 1948",Texas-El Paso,Y,/players/a/architi01.html
arcidry01,Ryan Arcidiacono,2018,2020,G,6-3,190.5,195.0,"March 26, 1994",Villanova,N,/players/a/arcidry01.html
ardji01,Jim Ard,1971,1978,F-C,6-8,203.2,215.0,"September 19, 1948",Cincinnati,N,/players/a/ardji01.html
arenagi01,Gilbert Arenas,2002,2012,G,6-3,190.5,191.0,"January 6, 1982",Arizona,N,/players/a/arenagi01.html
arizatr01,Trevor Ariza,2005,2020,F,6-8,203.2,215.0,"June 30, 1985",UCLA,N,/players/a/arizatr01.html
arizipa01,Paul Arizin*,1951,1962,F-G,6-4,193.04,190.0,"April 9, 1928",Villanova,Y,/players/a/arizipa01.html
arlaujo01,Joe Arlauckas,1988,1988,F,6-9,205.74,230.0,"July 20, 1965",Niagara University,N,/players/a/arlaujo01.html
armstbj01,B.J. Armstrong,1990,2000,G,6-2,187.96,175.0,"September 9, 1967",Iowa,N,/players/a/armstbj01.html
armstbo01,Bob Armstrong,1957,1957,C-F,6-8,203.2,220.0,"June 17, 1933",Michigan State,N,/players/a/armstbo01.html
armstbr01,Brandon Armstrong,2002,2004,G,6-5,195.58,188.0,"June 16, 1980",Pepperdine,N,/players/a/armstbr01.html
armstcu01,Curly Armstrong,1949,1951,G-F,5-11,180.34,170.0,"November 1, 1918",Indiana,N,/players/a/armstcu01.html
armstda01,Darrell Armstrong,1995,2008,G,6-0,182.88,170.0,"June 22, 1968",Fayetteville State University,N,/players/a/armstda01.html
armsthi01,Hilton Armstrong,2007,2014,F-C,6-11,210.82,235.0,"November 11, 1984",UConn,N,/players/a/armsthi01.html
armstta01,Tate Armstrong,1978,1979,G,6-3,190.5,175.0,"October 5, 1955",Duke,N,/players/a/armstta01.html
arnelje01,Jesse Arnelle,1956,1956,F,6-5,195.58,220.0,"December 30, 1933",Penn State,N,/players/a/arnelje01.html
arnetja01,Jay Arnette,1964,1966,G,6-2,187.96,175.0,"December 19, 1938",Texas,N,/players/a/arnetja01.html
arnzebo01,Bob Arnzen,1970,1974,F,6-5,195.58,205.0,"November 3, 1947",Notre Dame,N,/players/a/arnzebo01.html
arroyca01,Carlos Arroyo,2002,2011,G,6-2,187.96,202.0,"July 30, 1979",Florida International University,N,/players/a/arroyca01.html
arthuda01,Darrell Arthur,2009,2018,F,6-9,205.74,235.0,"March 25, 1988",Kansas,N,/players/a/arthuda01.html
arthujo01,John Arthurs,1970,1970,G,6-4,193.04,185.0,"August 15, 1947",Tulane,N,/players/a/arthujo01.html
artisja01,Jamel Artis,2018,2018,G-F,6-7,200.66,213.0,"January 12, 1993",Pitt,N,/players/a/artisja01.html
asikom01,Ömer Aşık,2011,2018,C,7-0,213.36,255.0,"July 4, 1986",,N,/players/a/asikom01.html
askewvi01,Vincent Askew,1988,1998,G-F,6-6,198.12,210.0,"February 28, 1966",Memphis,N,/players/a/askewvi01.html
askinke01,Keith Askins,1991,1999,G-F,6-7,200.66,197.0,"December 15, 1967",Alabama,N,/players/a/askinke01.html
asmondo01,Don Asmonga,1954,1954,G,6-2,187.96,185.0,"February 15, 1928",Alliance College,N,/players/a/asmondo01.html
athadi01,Dick Atha,1956,1958,G,6-2,187.96,190.0,"September 21, 1931",Indiana State University,N,/players/a/athadi01.html
atkinch01,Chucky Atkins,2000,2010,G,5-11,180.34,160.0,"August 14, 1974",South Florida,N,/players/a/atkinch01.html
attleal01,Al Attles*,1961,1971,G,6-0,182.88,175.0,"November 7, 1936",North Carolina A&T,Y,/players/a/attleal01.html
aubucch01,Chet Aubuchon,1947,1947,G,5-10,177.8,137.0,"May 18, 1916",Michigan State,N,/players/a/aubucch01.html
augmost01,Stacey Augmon,1992,2006,F-G,6-8,203.2,205.0,"August 1, 1968",UNLV,N,/players/a/augmost01.html
augusdj01,D.J. Augustin,2009,2020,G,5-11,180.34,183.0,"November 10, 1987",Texas,N,/players/a/augusdj01.html
augusja01,James Augustine,2007,2008,F,6-10,208.28,235.0,"February 27, 1984",Illinois,N,/players/a/augusja01.html
austiis01,Isaac Austin,1992,2002,C,6-10,208.28,255.0,"August 18, 1969",Arizona State,N,/players/a/austiis01.html
austijo01,Johnny Austin,1967,1968,G,6-0,182.88,170.0,"August 31, 1944",Boston College,N,/players/a/austijo01.html
austike01,Ken Austin,1984,1984,F,6-9,205.74,205.0,"July 15, 1961",Rice University,N,/players/a/austike01.html
aventan01,Anthony Avent,1993,2000,F,6-9,205.74,235.0,"October 18, 1969",Seton Hall,N,/players/a/aventan01.html
averibi01,Bird Averitt,1974,1978,G,6-1,185.42,170.0,"July 22, 1952",Pepperdine,N,/players/a/averibi01.html
averywi01,William Avery,2000,2002,G,6-2,187.96,197.0,"August 8, 1979",Duke,N,/players/a/averywi01.html
awtrede01,Dennis Awtrey,1971,1982,C,6-10,208.28,235.0,"February 22, 1948",Santa Clara,N,/players/a/awtrede01.html
ayongu01,Gustavo Ayón,2012,2014,C,6-10,208.28,250.0,"April 1, 1985",,N,/players/a/ayongu01.html
pendeje02,Jeff Ayres,2010,2016,F,6-9,205.74,240.0,"April 29, 1987",Arizona State,N,/players/a/pendeje02.html
aytonde01,Deandre Ayton,2019,2020,C,6-11,210.82,250.0,"July 23, 1998",Arizona,N,/players/a/aytonde01.html
azubuke01,Kelenna Azubuike,2007,2012,G,6-5,195.58,220.0,"December 16, 1983",Kentucky,N,/players/a/azubuke01.html
babbch01,Chris Babb,2014,2014,G,6-5,195.58,225.0,"February 14, 1990","Penn State, Iowa State",N,/players/b/babbch01.html
babbilu01,Luke Babbitt,2011,2018,F,6-9,205.74,225.0,"June 20, 1989",Nevada,N,/players/b/babbilu01.html
babicmi01,Miloš Babić,1991,1992,C-F,7-0,213.36,240.0,"November 23, 1968",Tennessee Technological University,N,/players/b/babicmi01.html
bachjo01,Johnny Bach,1949,1949,F-G,6-2,187.96,180.0,"July 10, 1924",Fordham,N,/players/b/bachjo01.html
bacondw01,Dwayne Bacon,2018,2020,G,6-6,198.12,221.0,"August 30, 1995",Florida State,N,/players/b/bacondw01.html
baconhe01,Henry Bacon,1973,1973,G,6-3,190.5,205.0,"July 5, 1948",Louisville,N,/players/b/baconhe01.html
baechji01,Jim Baechtold,1953,1957,F-G,6-4,193.04,205.0,"December 9, 1927",Eastern Kentucky University,N,/players/b/baechji01.html
bagarda01,Dalibor Bagarić,2001,2003,C,7-1,215.9,255.0,"February 7, 1980",,N,/players/b/bagarda01.html
baglejo01,John Bagley,1983,1994,G,6-0,182.88,185.0,"April 23, 1960",Boston College,N,/players/b/baglejo01.html
baglema01,Marvin Bagley,2019,2020,F,6-11,210.82,235.0,"March 14, 1999",Duke,N,/players/b/baglema01.html
baileca01,Carl Bailey,1982,1982,C,7-0,213.36,210.0,"April 23, 1958",Tuskegee University,N,/players/b/baileca01.html
bailegu01,Gus Bailey,1975,1980,G-F,6-5,195.58,185.0,"February 18, 1951",Texas-El Paso,N,/players/b/bailegu01.html
baileja01,James Bailey,1980,1988,F-C,6-9,205.74,220.0,"May 21, 1957",Rutgers University,N,/players/b/baileja01.html
baileth01,Thurl Bailey,1984,1999,F-C,6-11,210.82,215.0,"April 7, 1961",NC State,N,/players/b/baileth01.html
baileto01,Toby Bailey,1999,2000,G,6-6,198.12,213.0,"November 19, 1975",UCLA,N,/players/b/baileto01.html
bairsca01,Cameron Bairstow,2015,2016,F-C,6-9,205.74,250.0,"December 7, 1990",New Mexico,N,/players/b/bairsca01.html
bakerji01,Jimmie Baker,1976,1976,F,6-9,205.74,220.0,"December 25, 1953",Hawaii,N,/players/b/bakerji01.html
bakerla01,LaMark Baker,1999,1999,G,6-1,185.42,175.0,"November 11, 1969",Ohio State,N,/players/b/bakerla01.html
bakerma01,Maurice Baker,2005,2005,G,6-1,185.42,175.0,"July 28, 1979",Oklahoma State,N,/players/b/bakerma01.html
bakerno01,Norm Baker,1947,1947,G,6-0,182.88,180.0,"February 17, 1923",,N,/players/b/bakerno01.html
bakerro01,Ron Baker,2017,2019,G,6-4,193.04,220.0,"March 30, 1993",Wichita State,N,/players/b/bakerro01.html
bakervi01,Vin Baker,1994,2006,F,6-11,210.82,232.0,"November 23, 1971",University of Hartford,N,/players/b/bakervi01.html
baldwwa01,Wade Baldwin,2017,2019,G,6-4,193.04,200.0,"March 29, 1996",Vanderbilt,N,/players/b/baldwwa01.html
balkmre01,Renaldo Balkman,2007,2012,F,6-8,203.2,208.0,"July 14, 1984",South Carolina,N,/players/b/balkmre01.html
ballce01,Cedric Ball,1991,1991,F,6-8,203.2,210.0,"April 16, 1968",UNC Charlotte,N,/players/b/ballce01.html
balllo01,Lonzo Ball,2018,2020,G,6-6,198.12,190.0,"October 27, 1997",UCLA,N,/players/b/balllo01.html
ballagr01,Greg Ballard,1978,1989,F,6-7,200.66,215.0,"January 29, 1955",Oregon,N,/players/b/ballagr01.html
baltihe01,Herschel Baltimore,1947,1947,F,6-4,193.04,195.0,"June 21, 1921",Penn State,N,/players/b/baltihe01.html
bambamo01,Mohamed Bamba,2019,2020,C,7-0,213.36,231.0,"May 12, 1998",Texas,N,/players/b/bambamo01.html
banksge01,Gene Banks,1982,1987,F-G,6-7,200.66,215.0,"May 15, 1959",Duke,N,/players/b/banksge01.html
banksma01,Marcus Banks,2004,2011,G,6-2,187.96,200.0,"November 19, 1981",UNLV,N,/players/b/banksma01.html
bankswa01,Walker Banks,1971,1971,C,6-10,208.28,205.0,"August 26, 1947",Western Kentucky,N,/players/b/bankswa01.html
bannike01,Ken Bannister,1985,1991,F-C,6-9,205.74,235.0,"April 1, 1960","Indiana State University, Saint Augustine's College",N,/players/b/bannike01.html
bantomi01,Mike Bantom,1974,1982,F-C,6-9,205.74,200.0,"December 3, 1951",Saint Joseph's,N,/players/b/bantomi01.html
barbejo01,John Barber,1957,1957,F,6-6,198.12,210.0,"June 27, 1927","California State University, Los Angeles",N,/players/b/barbejo01.html
barbole01,Leandro Barbosa,2004,2017,G,6-3,190.5,194.0,"November 28, 1982",,N,/players/b/barbole01.html
bardost01,Steve Bardo,1992,1996,G,6-5,195.58,190.0,"April 5, 1968",Illinois,N,/players/b/bardost01.html
bareajo01,J.J. Barea,2007,2020,G,5-10,177.8,180.0,"June 26, 1984",Northeastern University,N,/players/b/bareajo01.html
bargnan01,Andrea Bargnani,2007,2016,F-C,7-0,213.36,245.0,"October 26, 1985",,N,/players/b/bargnan01.html
barkecl01,Cliff Barker,1950,1952,G,6-2,187.96,185.0,"January 15, 1921",Kentucky,N,/players/b/barkecl01.html
barketo01,Tom Barker,1977,1979,C-F,6-11,210.82,225.0,"March 11, 1955",Hawaii,N,/players/b/barketo01.html
barklch01,Charles Barkley*,1985,2000,F,6-6,198.12,252.0,"February 20, 1963",Auburn,Y,/players/b/barklch01.html
barkler01,Erick Barkley,2001,2002,G,6-1,185.42,177.0,"February 21, 1978",St. John's,N,/players/b/barkler01.html
barksdo01,Don Barksdale*,1952,1955,F-C,6-6,198.12,200.0,"March 31, 1923",UCLA,Y,/players/b/barksdo01.html
barneha02,Harrison Barnes,2013,2020,F,6-8,203.2,225.0,"May 30, 1992",UNC,N,/players/b/barneha02.html
barneha01,Harry Barnes,1969,1969,F,6-3,190.5,205.0,"July 25, 1945",Northeastern University,N,/players/b/barneha01.html
barneji01,Jim Barnes,1965,1971,C-F,6-8,203.2,210.0,"April 13, 1941",Texas-El Paso,N,/players/b/barneji01.html
barnema01,Marvin Barnes,1975,1980,F-C,6-8,203.2,210.0,"July 27, 1952",Providence,N,/players/b/barnema01.html
barnema02,Matt Barnes,2004,2017,F,6-7,200.66,226.0,"March 9, 1980",UCLA,N,/players/b/barnema02.html
